email;senha;data-de-nascimento;newsletter
lda-mota@example.net;*V03BSlEA*;1983-08-27;False
sda-luz@example.org;Qa8_2C0o5_;2003-07-16;True
daniela00@example.com;zZz4@J3ec@;1971-08-24;True
nogueiralorenzo@example.com;%8h&@B6IgJ;1996-08-14;True
gcardoso@example.net;OAHsP2Eu_h;1990-04-20;True
lorenzoaragao@example.org;240iCRzfO_;1998-12-10;True
sofia65@example.org;!ytSm4@x0w;1971-06-01;True
joao08@example.com;J4d5A5nD)A;1954-10-27;False
wduarte@example.org;$V0TkvNYzd;1979-05-02;False
mariada-rocha@example.com;%0t$9CKq3P;2003-09-10;True
